,address,city,latitude,license_type,longitude,name,ranking,rating,retailer_services,reviews_count,state,type,web_url,zip_code,date
0,6500 Stanford Ave,Los Angeles,33.98087,medical,-118.26285,The Originals Factory & Weed Shop,4.361497495723609,4.68493150684932,['storefront'],73,California,dispensary,https://weedmaps.com/dispensaries/the-originals-factory-weed-shop,90001,11-03-2019
1,6908 S CENTRAL AVE,LOS ANGELES,33.977237,medical,-118.25618,OG CENTRAL,4.77629722673639,4.86880466472303,['storefront'],343,California,dispensary,https://weedmaps.com/dispensaries/og-central,90001,11-03-2019
2,,South LA,33.989345,medical,-118.256421,Divine Choice Delivery,3.841096839940952,4.52,['delivery'],25,California,delivery,https://weedmaps.com/deliveries/divine-choice-delivery-9,90001,11-03-2019
3,8826 South Vermont,Los Angeles,33.956804,medical,-118.291357,LA Collective,3.838242054893372,4.27083333333333,['storefront'],48,California,dispensary,https://weedmaps.com/dispensaries/crown-collective-la-south-la,90044,11-03-2019
4,1319 E Florence Ave,Los Angeles,33.975134,medical,-118.251314,Crown Collective LA,4.510301688037086,4.60412371134021,['storefront'],485,California,dispensary,https://weedmaps.com/dispensaries/crown-collective-la,90001,11-03-2019
5,9304 S. Broadway,Los Angeles,33.951708,medical,-118.277845,Broadway LA Pharmacy - 30 CAP,4.663405635132129,4.71902017291066,['storefront'],694,CA,dispensary,https://weedmaps.com/dispensaries/santa-ana-outrageousness,90003,11-03-2019
6,6420 Wilmington Ave.,Los Angeles,33.981046,hybrid,-118.238455,Omnia Industry,4.18246997338649,4.47311827956989,['storefront'],93,California,dispensary,https://weedmaps.com/dispensaries/omnia-industry-dispensary,90001,11-03-2019
7,6507 S. Vermont Ave,Los Angeles,33.980313,medical,-118.291972,Goblin Kingz,4.43829853673415,4.85,['storefront'],40,California,dispensary,https://weedmaps.com/dispensaries/goblin-kingz-1,90044,11-03-2019
8,,Los Angeles,33.960414,medical,-118.264784,420 Degrees,4.21289348759669,4.75757575757576,['delivery'],33,CA,delivery,https://weedmaps.com/deliveries/420-degrees-10,90001,11-03-2019
9,,Los Angeles,33.945624,medical,-118.265803,LA Green Run - South LA / Watts,4.19219123512561,4.46181818181818,['delivery'],110,California,delivery,https://weedmaps.com/deliveries/la-green-run-south-la-2,90003,11-03-2019
10,6600 Holmes Ave,Los Angeles,33.979507,medical,-118.240861,Hot Box 20 Cap Collective,4.88582994617605,4.90509950248756,['storefront'],3216,CA,dispensary,https://weedmaps.com/dispensaries/vee-account,90001,11-03-2019
11,10837 S. Vermont Avenue Unit C,Los Angeles,33.937498,medical,-118.292335,Green Gears 20 Cap,4.626259890635041,4.67503924646782,['storefront'],637,California,dispensary,https://weedmaps.com/dispensaries/green-gears-20-cap,90044,11-03-2019
12,,Los Angeles,33.974724,medical,-118.265286,Green Monkey,3.73434373948387,3.99324324324324,['delivery'],148,California,delivery,https://weedmaps.com/deliveries/green-monkey,90003,11-03-2019
13,8100 S. Central Ave,Los Angeles,33.965518,medical,-118.256158,High Roller - Grand Opening 10/23!,3.818855442651916,5.0,['storefront'],10,California,dispensary,https://weedmaps.com/dispensaries/high-roller,90001,11-03-2019
14,,Los Angeles,33.9733,medical,-118.292286,Take Flight LA,3.6647081135969,4.15555555555556,['delivery'],45,California,delivery,https://weedmaps.com/deliveries/take-flight-la,90044,11-03-2019
15,11318 S. Vermont Ave,Los Angeles,33.93178,medical,-118.29136,Scooters,4.923799633092753,4.9392047321722,['storefront'],3043,California,dispensary,https://weedmaps.com/dispensaries/skooters,90044,11-03-2019
16,8836 South Vermont,Los Angeles,33.95718,medical,-118.29137,OG Top Shop,4.915238282382491,4.928,['storefront'],3825,California,dispensary,https://weedmaps.com/dispensaries/vermont-gas,90044,11-03-2019
17,8018 Avalon Blvd,Los Angeles,33.965903,medical,-118.264877,OMG Avalon 20 Cap Collective,4.87600688763608,4.89898892633606,['storefront'],2077,CA,dispensary,https://weedmaps.com/dispensaries/535-collective,90003,11-03-2019
18,157-159 East Florence,Los Angeles,33.974956,medical,-118.272003,Loud 20 Cap,4.85631020097286,4.87345501120717,['storefront'],3123,CA,dispensary,https://weedmaps.com/dispensaries/loud-30-cap-collective,90003,11-03-2019
19,8918 S Vermont Ave,Los Angeles,33.955963,medical,-118.29127,Vermont 30 Cap,4.833164653822105,4.86358754027927,['storefront'],931,California,dispensary,https://weedmaps.com/dispensaries/vermont-30-cap,90044,11-03-2019
20,1789 Firestone Blvd,Los Angeles,33.960331,medical,-118.240531,20 COLLECTIVE,4.810736400594084,4.84718100890208,['storefront'],674,CA,dispensary,https://weedmaps.com/dispensaries/green-stock-20,90001,11-03-2019
21,1216 West Florence Ave,Los Angeles,33.974322,medical,-118.29693,LA Treehouse,4.48041346347707,4.69827586206897,['storefront'],116,California,dispensary,https://weedmaps.com/dispensaries/la-treehouse,90044,11-03-2019
22,7416 S Central Ave.,Los Angeles,33.972778,medical,-118.256251,Green Temple,4.44508457211768,4.66935483870968,['storefront'],124,California,dispensary,https://weedmaps.com/dispensaries/green-temple-compton,90001,11-03-2019
23,11414 S Vermont Ave.,Los Angeles,33.930478,medical,-118.291258,Green Garden Collective,4.42350807712562,4.52136752136752,['storefront'],468,CA,dispensary,https://weedmaps.com/dispensaries/green-garden-collective-3,90044,11-03-2019
24,Normandie Ave,Los Angeles,33.978935,medical,-118.300026,Green Dream Caregivers 24 Hours,4.288973278949062,4.46818181818182,['storefront'],220,California,dispensary,https://weedmaps.com/dispensaries/sepulveda-caregivers,90044,11-03-2019
25,7500 S. Main St.,Los Angeles,33.972033,medical,-118.273791,Weed 4 Less 15 Cap,4.190213582403808,4.40718562874252,['storefront'],167,California,dispensary,https://weedmaps.com/dispensaries/weed-4-less-15-cap,90003,11-03-2019
26,7616 South Central Avenue,Los Angeles,33.970961,medical,-118.256164,Central Hotbox,4.170293222269656,4.52173913043478,['storefront'],69,California,dispensary,https://weedmaps.com/dispensaries/central-hotbox,90001,11-03-2019
27,Please visit our website: www.doc420.com,Los Angeles,33.960021,medical,-118.291603,DOC420 South L.A.,4.68158063552875,4.91208791208791,['doctor'],91,California,doctor,https://weedmaps.com/doctors/doc420-south-l-a,90044,11-03-2019
28,420recs.com,Los Angeles,33.989486,medical,-118.273978,420Recs.com- South La (100% Online),3.12303065061999,4.14,['doctor'],10,ca,doctor,https://weedmaps.com/doctors/420recs-com-south-la,90037,11-03-2019
29,603 E. 121th Street,Los Angeles,33.923061,medical,-118.264937,420AvalonMD,4.240961094388643,4.9578947368421,['doctor'],19,CA,doctor,https://weedmaps.com/doctors/420avalonmd,90059,11-03-2019
