business name,address,longitude,latitude,state,city,zip_code,ranking,rating,web_url,reviews_count,license type,type,intro_body,retailer_services
Normandie House of BOGO,6424 South Normandie,-118.300004,33.980797,California,Los Angeles,90044,4.05085396747659,4.18145161290323,https://weedmaps.com/dispensaries/normandy,248,medical,dispensary,<p>WELCOME TO NORMANDIE HOUSE OF BOGO!! WE ARE HOME OF THE *BUY 4 GET 4 GRAMS FREE* AND *ALL DAY EVERYDAY HAPPY HOUR* !!!! </p> <p>(BOGO DOES NOT APPLY TO ALL PRODUCTS)</p> <p>FREE HOUSE JOINT OR DAB WITH ANY DONATION OVER $20!!!</p> <p>CHECK OUT OUR DAILY DEALS!!</p> <p>All Donation lNCLUDE City and State Taxes !</p> <p>NEW MEMBERS:</p> <p>18+ MUST have a valid ID/DL from DMV and valid MEDICAL RECOMMENDATION</p> <p>21+ MUST have a valid ID/DL.</p> <p>*LAST CALL FOR FIRST TIME PATIENTS IS 11:30PM*</p> <p> </p> <p>***WE ARE NOW HIRING BUDTENDERS!! PLEASE SEND RESUME AND THREE PICTURES (NO FILTERS PLEASE) TO normandiebogo@yahoo.com ***</p> <p> </p>,storefront
Puffy Delivery - Los Angeles,,-118.256398,33.97477,California,Los Angeles,90001,3.430503029625065,3.66842105263158,https://weedmaps.com/deliveries/organix-simi-valley,190,hybrid,delivery,"<p>Welcome to Puffy Delivery!</p> <p><strong> </strong></p> <p>Puffy Delivery is an online cannabis collective for medical and recreational cannabis users that offers cannabis delivery directly to your front door.</p> <p><strong> </strong></p> <p>Puffy Delivery only carries products that have been lab tested and meet all state packaging requirements. We are a fully licensed cannabis collective and operate legally under California state law.</p> <p><strong> </strong></p> <p>We offer same-day delivery to Los Angeles, Orange County, San Fernando Valley, San Francisco, Sacramento, and San Diego.</p> <p><strong> </strong></p> <p>Our ETAs are based on location and time. We will try our best to provide an accurate ETA but please note it may be subject to change at any time.</p> <p><strong> </strong></p> <p>You can easily process your order through Weedmaps! If you would like to text in your order, please send the first-time customer required information to the number listed, and a Puffy representative will be in contact with you once your profile has been created.</p> <p> </p> <p>**prices do not include taxes</p>",delivery
OG CENTRAL,6908 S CENTRAL AVE,-118.25618,33.977237,California,LOS ANGELES,90001,4.614747189004901,4.85106382978723,https://weedmaps.com/dispensaries/og-central,94,medical,dispensary,<p> </p> <p> </p> <p> </p> <p>NOW HIRING! PLEASE SEND RESUME WITH 2 PHOTOS TO THE EMAIL LISTED.</p>,storefront
Divine Choice Delivery,,-118.256421,33.989345,California,South LA,90001,3.57106509305291,4.36842105263158,https://weedmaps.com/deliveries/divine-choice-delivery-9,19,medical,delivery,<p>Divine delivery offers only the very best quality Canabis products.please call in for a minimum for delivery to your area</p>,delivery
Crown Collective LA,1319 E Florence Ave,-118.251314,33.975134,California,Los Angeles,90001,4.584847225746209,4.67980295566502,https://weedmaps.com/dispensaries/crown-collective-la,406,medical,dispensary,"<p>WELCOME TO LA CROWN COLLECTIVE!</p> <p>We are recreational and medical dispensary that carries a wide variety of some of the best products that are top quality and top grade. We strive to build strong and trustworthy relationships with our patients, mainly to make sure that patients walk away with the right product fit for them. Our volunteers are knowledgeable and educated on a wide scale of strains, products, CBD, and any many brand names. Satisfaction is our number one goal. In the region of South Los Angeles, we are located between the main cross streets of Florence and Hooper, happily open 7 days a week 24 hours a day!</p> <p> </p> <p>‼️WE ARE NOW HIRING‼️ (21+ & EXPERIENCED PREFFERED)</p> <p>*Please send over your resume and two recent pictures* (TO OUR EMAIL OR PHONE # LISTED) </p> <p> </p> <p>DAILY DEALS ‼️</p> <p>MUNCHIE Monday: BOGO 1/2 off (Edibles Only)</p> <p>TERPY Tuesday:10% ALL cartridges (1G carts $20+)</p> <p>WAX Wednesday: $3 OFF all 1 gram </p> <p>THIRSTY Thursday: 10% OFF all drinks</p> <p>FAT Friday: 4g 8th’s on shelf’s </p> <p>STIIIZY Saturday.: $5 ALL full grams</p> <p>SUNDAY Funday: Pick any deal ALL day (minimum $30 donation)</p> <p>‼️ CAN NOT COMBINE DEALS ‼️</p> <p> </p> <p>BRING YOUR FRIENDS ‼️</p> <p>Referral: Gets a FREE Private Reserve joint</p> <p> </p> <p>SHOW US SOME 5-STAR LOVE ‼️</p> <p>WM Review: Leave a 5-star review and receive a free House gram.</p> <p> </p> <p>SPEND SOME MONEY ‼️</p> <p>Donations: ALL DEALS MUST BE REDEEMED AT THE TIME OF DONATION BY SHOWING TEXT/POST TO YOUR MEDTENDER.</p> <p> </p>",storefront
Broadway LA Pharmacy - 30 CAP,9304 S. Broadway,-118.277845,33.951708,CA,Los Angeles,90003,4.681659476117245,4.73636363636364,https://weedmaps.com/dispensaries/santa-ana-outrageousness,660,medical,dispensary,"<p>Here to provide you with friendly service and quality supply, come visit us for all of your cannabis needs!</p>",storefront
Omnia Industry,6420 Wilmington Ave.,-118.238455,33.981046,California,Los Angeles,90001,4.19662642800578,4.5,https://weedmaps.com/dispensaries/omnia-industry-dispensary,86,hybrid,dispensary,"<p>**PAD DATES FOR SEPTEMBER!**</p> <p>09\05 (4PM-7PM) *CANNAVIS SYRUP* (5PM-7PM) *PLUG N PLAY*</p> <p>09\12 (12PM-2PM) *VENICE COOKIE COMPANY* (4PM-7PM) SELECT*</p> <p>09\13 (1PM-3PM) *KUSHY PUNCH*</p> <p>09\14 (4PM-8PM) *PAPA BARKLEY*</p> <p>09\19 (4PM-7PM) *SELECT*</p> <p>09\20 (4PM-8PM) *LA KUSH*</p> <p>09\25 (4PM-7PM) *CANNAVIS SYRUP*</p> <p>6420 Wilmington Ave, Los Angeles, CA 90001</p> <p>Omnia Industry is a 100% Legal & Compliant California Cannabis Corporation that holds a Microbusiness License from City & State.</p>",storefront
110 Medical - 20 Cap,7111 South Broadway,-118.278577,33.975231,California,Los Angeles,90003,4.67690521673533,4.72219607843137,https://weedmaps.com/dispensaries/broadway-medical-center-2-2,1275,medical,dispensary,<p>$20 CAP!!!!!! OPEN 9AM-11:45 PM 7 DAYS A WEEK!!! You only need your ID. Prop 64 Compliant. Must be 18+ (Please bring a VALID I.D. or Passport) Follow​ ​us​ ​on​ ​Instagram​ ​@broadway_110  ***DROPPED PRICING ON MOST EDIBLES!!!***</p> <p>HAPPY HOUR EVERYDAY 9AM-2PM: $10 GRAMS OF MOONROCK! (WHILE SUPPLIES LAST)</p> <p>$50 OUNCES ! (WHILE SUPPLIES LAST)</p> <p>--&gt; DONATE $60+ & get a bag of 3 FREE items!!</p> <p>OUR DAILY DEALS! (No combining deals):</p> <p>-MONDAY: (2g Moonrocks for 20$) </p> <p>-TUESDAY: 10% OFF on all Edibles</p> <p>-WEDNESDAY: 10% OFF WAX AND PENS</p> <p>-THURSDAY: DOUBLE STAMP WITH $25+</p> <p>-FRIDAY: DONATE 50$ get FREE Gram of POPCORN OG!</p> <p>-SATURDAY: 10% off Shatter</p> <p>-SUNDAY: CHOOSE ANY DEAL OF THE WEEK!</p>,storefront
420 Degrees,,-118.264784,33.960414,CA,Los Angeles,90001,4.15962894858585,4.75757575757576,https://weedmaps.com/deliveries/420-degrees-10,33,medical,delivery,"<p>Buy 7g or more, receive a free pre roll!</p> <p>BUY 3 H1 CARTRIGES GET 1 FREE</p> <p>Welcome to 420 Degrees delivery ""We Bring The Heat!"" At 420 Degrees, we believe in providing the highest quality flower and the highest level of service to our patients. We make the delivery process smooth and easy.</p> <p>Hablamos Espanol :)</p> <p> </p>",delivery
LA Green Run - South LA / Watts,,-118.265803,33.945624,California,Los Angeles,90003,4.20599799461218,4.488,https://weedmaps.com/deliveries/la-green-run-south-la-2,100,medical,delivery,"<p>How to Place an Order?</p> <p>1)Text rec and ID to 562-991-0981 2) Text order and Complete Adress 3) Be happy! refer a friend and get hooked up!! **No Delivery Fee** ,$60 minimum for delivery.Some areas may require a higher minimum.First time Patient get 1 FREE FIRE ROLL!!</p>",delivery
